@relation 'train_clean-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 0.047pixel_576+0.047pixel_516+0.047pixel_786+0.047pixel_544+0.046pixel_548... numeric
@attribute -0.05pixel_48-0.05pixel_16-0.05pixel_17-0.05pixel_18-0.05pixel_49... numeric
@attribute -0.09pixel_525-0.089pixel_526-0.088pixel_523-0.087pixel_524-0.086pixel_522... numeric
@attribute -0.083pixel_323-0.08pixel_291-0.077pixel_388-0.074pixel_259-0.074pixel_355... numeric
@attribute -0.114pixel_834-0.112pixel_802-0.108pixel_866+0.105pixel_230-0.105pixel_770... numeric
@attribute -0.105pixel_99-0.092pixel_935-0.09pixel_67-0.086pixel_131-0.086pixel_98... numeric
@attribute -0.142pixel_260-0.139pixel_228-0.137pixel_772-0.135pixel_292-0.13pixel_804... numeric
@attribute 0.122pixel_1023+0.111pixel_1022+0.109pixel_1020+0.108pixel_996+0.101pixel_1021... numeric
@attribute -0.131pixel_809-0.123pixel_840-0.119pixel_776-0.111pixel_777-0.11pixel_841... numeric
@attribute '0.106pixel_263+0.086pixel_411-0.085pixel_646+0.081pixel_443+0.08 pixel_314...' numeric
@attribute '-0.121pixel_231+0.11 pixel_808+0.105pixel_433-0.105pixel_806-0.101pixel_199...' numeric
@attribute 0.147pixel_401+0.115pixel_433+0.109pixel_498+0.102pixel_497+0.096pixel_530... numeric
@attribute -0.128pixel_166-0.121pixel_134-0.121pixel_71-0.113pixel_102-0.106pixel_198... numeric
@attribute -0.094pixel_629-0.092pixel_502-0.091pixel_604-0.089pixel_636-0.087pixel_791... numeric
@attribute -0.118pixel_520-0.111pixel_519-0.106pixel_552-0.104pixel_551+0.103pixel_1024... numeric
@attribute 0.121pixel_538+0.101pixel_872+0.101pixel_474+0.098pixel_506+0.097pixel_570... numeric
@attribute -0.124pixel_638-0.123pixel_670-0.103pixel_606-0.102pixel_702+0.099pixel_871... numeric
@attribute '-0.116pixel_426-0.112pixel_626+0.11 pixel_689-0.106pixel_427-0.104pixel_396...' numeric
@attribute -0.128pixel_403-0.119pixel_62-0.114pixel_281-0.11pixel_63-0.11pixel_29... numeric
@attribute 0.139pixel_433+0.121pixel_496+0.115pixel_464+0.107pixel_401+0.103pixel_659... numeric
@attribute -0.145pixel_1023-0.125pixel_1024-0.117pixel_990+0.114pixel_872-0.113pixel_992... numeric
@attribute -0.162pixel_295-0.13pixel_743-0.104pixel_297-0.103pixel_627-0.103pixel_872... numeric
@attribute 0.144pixel_403+0.126pixel_625+0.113pixel_690+0.105pixel_371-0.101pixel_337... numeric
@attribute 0.142pixel_409-0.126pixel_665-0.124pixel_697+0.119pixel_872-0.111pixel_464... numeric
@attribute -0.175pixel_337+0.114pixel_627-0.106pixel_338-0.104pixel_306+0.096pixel_563... numeric
@attribute '-0.12pixel_434+0.11 pixel_777-0.101pixel_338-0.1pixel_358-0.097pixel_729...' numeric
@attribute -0.136pixel_807-0.13pixel_1024-0.112pixel_457-0.102pixel_312+0.102pixel_391... numeric
@attribute -0.139pixel_560-0.128pixel_592+0.111pixel_690-0.109pixel_936-0.108pixel_378... numeric
@attribute '0.122pixel_402+0.12 pixel_312+0.118pixel_625+0.113pixel_370+0.111pixel_280...' numeric
@attribute 0.125pixel_401+0.119pixel_345-0.112pixel_625-0.101pixel_593+0.094pixel_594... numeric
@attribute '0.124pixel_648+0.123pixel_104+0.109pixel_556+0.101pixel_105+0.1  pixel_662...' numeric
@attribute -0.113pixel_625+0.107pixel_839-0.106pixel_166-0.1pixel_72-0.099pixel_690... numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
{0 11.95766,1 -3.29171,2 -1.064852,3 0.628206,4 -2.095785,5 -1.22873,6 -1.687782,7 0.543841,8 1.153004,9 -0.458033,10 0.409404,11 0.163404,12 0.1049,13 -0.933119,14 0.370582,15 -0.846967,16 0.554432,17 0.187213,18 0.473383,19 0.011945,20 0.630848,21 0.152094,22 -0.274614,23 0.352797,24 -0.351588,25 -0.177075,26 0.92883,27 0.229121,28 -0.137811,29 0.259439,30 0.305321,31 -0.241285,32 4}
{0 13.994818,1 -4.790288,2 0.455222,3 0.335467,4 -1.260938,5 -0.954143,6 -0.651763,7 -0.479518,8 -0.140763,9 0.305198,10 -1.32185,11 1.543831,12 -0.727859,13 -0.199574,14 0.096491,15 -0.65506,16 -0.385577,17 0.29658,18 -0.357603,19 0.694381,20 0.382851,21 0.516402,22 -0.286062,23 0.159094,24 -0.313682,25 -0.547582,26 0.402116,27 0.028602,28 0.229921,29 -0.340857,30 0.176124,31 -0.583813}
{0 10.922226,1 -1.208538,2 1.237793,3 0.717812,4 -1.992916,5 -1.072564,6 -0.490822,7 0.130812,8 1.032955,9 0.220721,10 0.549037,11 0.048877,12 -0.09132,13 -0.490446,14 -0.020457,15 0.405834,16 1.121124,17 0.543092,18 0.282883,19 0.721956,20 -0.260619,21 0.330612,22 -0.433114,23 0.00414,24 -0.233705,25 -0.245995,26 0.946576,27 -0.115346,28 -0.068128,29 -0.080167,30 0.47384,31 -0.427067,32 4}
{0 10.295928,1 6.58249,2 -0.66829,3 2.926373,4 -2.753891,5 -0.490932,6 -1.443392,7 -0.196254,8 1.332139,9 -1.100784,10 0.052351,11 0.142821,12 -0.536232,13 -1.1332,14 -0.003985,15 -0.953994,16 -1.152211,17 -0.669414,18 0.443491,19 0.507556,20 -0.627756,21 0.065522,22 0.195463,23 -0.478588,24 -0.897137,25 -0.624381,26 0.25907,27 0.12585,28 0.068154,29 -0.038548,30 0.412783,31 0.075031,32 7}
{0 6.069301,1 -3.742915,2 -4.086649,3 2.474671,4 -0.681766,5 -1.890181,6 0.516119,7 1.329473,8 0.097017,9 -0.686473,10 0.790155,11 0.539615,12 -1.08156,13 -0.987678,14 -0.70677,15 0.218142,16 -0.031886,17 -0.111232,18 -0.955605,19 0.101287,20 -0.267521,21 0.818456,22 0.816475,23 0.607143,24 -0.106473,25 -0.512591,26 0.342152,27 -0.364286,28 0.470326,29 -0.192248,30 -0.043027,31 0.288876,32 10}
{0 16.536829,1 0.549427,2 -0.068902,3 2.206024,4 0.577811,5 -0.144052,6 1.155952,7 0.301044,8 0.69609,9 -1.783636,10 -1.493153,11 0.08943,12 -0.661369,13 -0.722641,14 1.135828,15 -0.404224,16 0.05064,17 -0.033911,18 0.415791,19 0.379482,20 0.29321,21 0.368957,22 0.174349,23 0.553398,24 -0.346011,25 -0.149133,26 0.620152,27 -0.515831,28 0.018861,29 0.037577,30 0.486123,31 -0.069796,32 6}
{0 13.153398,1 -1.017789,2 -0.387283,3 2.239939,4 2.154183,5 -0.851542,6 -0.659008,7 -1.844382,8 1.54942,9 1.262654,10 0.258048,11 0.649644,12 -0.213716,13 -0.474294,14 0.793923,15 0.022856,16 0.049425,17 -0.739932,18 -0.273015,19 -0.020952,20 -0.312993,21 -0.199465,22 -0.09301,23 0.345725,24 -0.085927,25 -0.160311,26 0.02401,27 0.10083,28 0.002429,29 0.315615,30 -0.175709,31 0.162556,32 5}
{0 12.357246,1 0.650795,2 -3.71995,3 2.25906,4 -0.997713,5 0.450814,6 1.45595,7 -0.082652,8 0.80024,9 -0.95326,10 0.688948,11 1.04565,12 0.402666,13 -0.088527,14 -0.243126,15 -0.538418,16 1.05945,17 0.296013,18 0.142128,19 0.789449,20 0.832214,21 -0.351974,22 0.137593,23 -0.061909,24 -0.848692,25 -0.124327,26 -0.078176,27 -0.366597,28 0.102501,29 0.081196,30 0.257764,31 -0.483157,32 8}
{0 16.042859,1 -5.900063,2 -1.754635,3 1.869183,4 -1.267778,5 -0.834625,6 0.046764,7 0.165837,8 -0.786907,9 0.634208,10 0.108602,11 0.779445,12 0.613048,13 0.974884,14 0.667652,15 -0.927999,16 -0.216512,17 0.08239,18 1.135728,19 0.740827,20 -0.205781,21 0.104513,22 -0.110581,23 0.154763,24 -0.268644,25 -0.285816,26 0.512591,27 -0.179358,28 -0.155015,29 0.061199,30 -0.012396,31 0.283292,32 3}
{0 11.855302,1 -1.541459,2 2.990665,3 1.090354,4 0.559838,5 0.175063,6 0.857945,7 0.408294,8 0.744983,9 -1.726641,10 -0.284749,11 0.463298,12 -0.013238,13 -0.550506,14 1.457097,15 -0.57849,16 -0.197853,17 -0.042168,18 -0.277654,19 0.581019,20 0.529438,21 1.03415,22 -0.148419,23 -0.405704,24 -0.662553,25 -0.24023,26 0.292613,27 -0.701755,28 0.223463,29 0.13307,30 0.205336,31 0.375119,32 6}
{0 18.156865,1 3.268249,2 -0.88007,3 2.041495,4 -2.200382,5 -0.484348,6 -0.042243,7 -0.404513,8 -1.375159,9 -0.387607,10 0.806485,11 1.614473,12 0.12895,13 0.266533,14 0.609626,15 -0.095854,16 -0.091127,17 -0.236713,18 0.725511,19 -0.233617,20 0.121074,21 0.231373,22 0.539764,23 -0.31362,24 -0.104416,25 0.541103,26 0.509896,27 0.012846,28 -0.127608,29 0.1086,30 0.332042,31 -0.251564,32 3}
{0 16.901645,1 0.909964,2 -2.712685,3 2.931506,4 0.275349,5 -0.115632,6 1.311262,7 -0.023292,8 0.572938,9 -1.532614,10 -1.793166,11 0.002944,12 -0.800345,13 -0.816315,14 0.353326,15 -0.218975,16 -0.024483,17 0.171788,18 1.288175,19 0.435763,20 -0.084233,21 0.026602,22 0.387401,23 0.456969,24 -0.076112,25 -0.250817,26 0.684339,27 0.219092,28 -0.459314,29 0.414116,30 0.229332,31 -1.010937,32 6}
{0 9.262034,1 6.584624,2 -3.100224,3 4.811865,4 -1.933672,5 1.552545,6 -0.477893,7 -0.645567,8 0.949941,9 -0.19538,10 -0.894789,11 0.172559,12 -0.926867,13 -1.306338,14 -1.107498,15 -0.29909,16 0.199855,17 0.20509,18 0.232066,19 1.615415,20 -0.351232,21 0.57876,22 0.334799,23 1.003191,24 0.170191,25 -0.03441,26 0.372485,27 0.114534,28 -0.27962,29 0.398936,30 -0.305093,31 -0.009234,32 6}
{0 5.993031,1 -10.034471,2 1.37875,3 6.465183,4 -3.032729,5 -0.952846,6 0.323598,7 -0.366514,8 1.18296,9 -0.035201,10 -0.661485,11 0.916416,12 0.440883,13 -0.874873,14 0.152883,15 0.306451,16 -0.167444,17 -0.547874,18 -0.015531,19 0.320176,20 -0.261331,21 -0.596819,22 0.122432,23 -0.420657,24 -0.086363,25 0.026939,26 0.286449,27 -0.102548,28 -0.565775,29 -0.387368,30 0.823905,31 -0.328575,32 10}
{0 17.196476,1 -7.472624,2 -2.016229,3 2.351149,4 -1.27848,5 0.385093,6 1.643548,7 0.607686,8 -0.01998,9 -0.143194,10 0.560226,11 0.207535,12 0.407427,13 -0.138186,14 0.547786,15 -0.453675,16 -0.591407,17 0.566779,18 -0.265416,19 0.54892,20 -0.493201,21 -0.27893,22 -0.160187,23 0.618517,24 -1.064468,25 -0.039927,26 0.40804,27 0.179213,28 0.287266,29 0.08334,30 0.049076,31 -0.201252,32 10}
{0 4.063766,1 -6.862334,2 0.749749,3 3.725647,4 -2.365787,5 -1.253557,6 -0.556407,7 -0.727641,8 0.222787,9 0.39286,10 -1.178041,11 0.710244,12 -0.101963,13 -0.431561,14 0.136521,15 -0.461887,16 0.248037,17 -0.272104,18 0.30747,19 0.192167,20 0.071845,21 0.050507,22 0.017431,23 0.444595,24 0.273695,25 -0.203039,26 -0.228789,27 -0.424982,28 0.988172,29 -0.455191,30 0.071876,31 0.029528}
{0 18.78706,1 -5.662904,2 2.519396,3 4.080278,4 0.704753,5 -1.013935,6 -2.216795,7 0.959064,8 0.77725,9 -2.163793,10 0.341296,11 0.841226,12 -0.518795,13 1.725395,14 -0.523659,15 -0.483136,16 0.43106,17 -0.460769,18 -0.93216,19 1.266198,20 0.088631,21 0.313892,22 0.006963,23 0.950658,24 -0.927454,25 0.261794,26 -0.323417,27 0.629014,28 0.187735,29 0.647124,30 0.892124,31 -0.064132,32 2}
{0 13.526489,1 0.468955,2 -1.176608,3 0.957632,4 -2.411991,5 -1.448271,6 -1.704616,7 0.404775,8 1.251447,9 -0.806454,10 0.669797,11 0.071692,12 -0.034448,13 -0.965949,14 0.36338,15 -0.90029,16 0.337123,17 0.076154,18 0.519279,19 -0.059638,20 0.516381,21 -0.004519,22 -0.199322,23 0.087258,24 -0.468313,25 -0.275232,26 1.075136,27 0.301064,28 -0.270485,29 0.24192,30 0.532227,31 -0.38444,32 4}
{0 13.681437,1 -0.617357,2 -1.020244,3 2.01029,4 0.507293,5 -0.044312,6 1.054252,7 0.24053,8 0.523857,9 -1.44723,10 -1.489175,11 -0.026197,12 -0.680379,13 -0.631647,14 0.590998,15 -0.264744,16 0.052142,17 -0.059063,18 0.455346,19 0.241353,20 0.226339,21 0.195254,22 -0.068553,23 0.602038,24 -0.403691,25 -0.161162,26 0.553697,27 -0.197734,28 -0.01706,29 -0.099128,30 0.435876,31 -0.21288,32 6}
{0 9.469931,1 -1.395001,2 0.841524,3 0.410142,4 -1.502338,5 -0.252762,6 0.980151,7 -0.648521,8 1.601692,9 -0.122076,10 -0.161368,11 1.225545,12 -0.303725,13 0.593301,14 -0.541431,15 0.294027,16 -0.702156,17 0.378185,18 -0.386407,19 -0.703225,20 0.511403,21 0.063834,22 -0.436003,23 0.04724,24 0.013819,25 -0.842774,26 0.683283,27 0.63467,28 0.097305,29 -0.122784,30 0.424501,31 0.323785,32 9}
{0 17.655767,1 -1.318916,2 0.306921,3 0.782456,4 -1.697117,5 -1.143655,6 -0.506119,7 -0.586753,8 -0.389482,9 0.145059,10 -1.188031,11 1.934336,12 -0.990596,13 -0.393834,14 0.211788,15 -0.604168,16 -0.486617,17 0.602551,18 -0.295693,19 0.618618,20 0.262835,21 0.583205,22 -0.100948,23 0.042469,24 -0.474456,25 -0.509333,26 0.543968,27 -0.001779,28 -0.104516,29 0.316294,30 0.081043,31 -0.765151}
{0 1.812805,1 1.621902,2 -0.510983,3 1.720953,4 0.143353,5 0.716867,6 -0.413929,7 0.479014,8 -0.258776,9 0.957006,10 -0.243696,11 0.987174,12 0.370259,13 -1.166323,14 0.059997,15 -0.206214,16 0.264199,17 1.044916,18 -0.532097,19 0.391826,20 0.001639,21 0.121191,22 -0.041891,23 0.149364,24 0.231459,25 0.321719,26 0.576674,27 -0.401298,28 0.220122,29 0.2667,30 1.300628,31 0.240078,32 2}
{0 3.84932,1 -5.771376,2 0.549649,3 3.669635,4 0.051043,5 -0.6846,6 -0.171633,7 -1.328142,8 0.062171,9 -0.055881,10 2.117969,11 0.904682,12 -3.082511,13 -0.496225,14 0.560049,15 -0.813254,16 -0.009896,17 0.60557,18 0.614629,19 0.629654,20 -0.034315,21 -0.283792,22 0.348085,23 0.065211,24 -0.407358,25 -0.523787,26 0.591259,27 -0.231697,28 0.48597,29 0.107461,30 0.478803,31 -0.300655,32 5}
{0 1.600838,1 -0.141597,2 -1.22114,3 0.544163,4 -0.386287,5 -0.094987,6 -0.551239,7 0.45274,8 -0.228199,9 -0.383369,10 0.146511,11 0.528184,12 -0.391328,13 -0.61241,14 -0.622085,15 0.187996,16 -0.242818,17 -0.329756,18 -0.0861,19 0.356814,20 -0.382717,21 0.427456,22 0.707817,23 0.302208,24 0.025573,25 -0.020583,26 0.088869,27 0.174059,28 0.187887,29 -0.069669,30 0.25462,31 0.012797,32 4}
{0 14.490524,1 -1.914477,2 1.820851,3 1.789314,4 0.357081,5 0.045606,6 0.987977,7 0.006626,8 0.889765,9 -1.766131,10 -0.760592,11 0.429777,12 -0.180611,13 -0.726743,14 1.658139,15 -0.318798,16 -0.155159,17 -0.004963,18 0.517757,19 0.502573,20 0.300822,21 0.536393,22 0.549523,23 -0.433491,24 -0.399798,25 -0.547257,26 0.495432,27 -0.311849,28 -0.024477,29 0.533763,30 0.137532,31 -0.109449,32 6}
{0 1.061894,1 -0.441602,2 0.486942,3 0.773447,4 -0.103227,5 -0.121513,6 -0.104219,7 -0.327978,8 0.128583,9 -0.129224,10 0.196011,11 -0.065591,12 -0.159201,13 -0.064048,14 0.209152,15 -0.007397,16 -0.035468,17 0.350454,18 -0.101164,19 -0.044429,20 -0.074678,21 -0.036397,22 -0.083072,23 0.070762,24 -0.457159,25 -0.110727,26 -0.000405,27 0.032438,28 -0.041291,29 0.011102,30 0.020717,31 0.096125,32 5}
{0 1.469092,1 1.895592,2 0.882451,3 1.808937,4 -0.667009,5 -0.922611,6 0.236215,7 1.695163,8 0.633061,9 0.516818,10 -0.163671,11 0.205951,12 -0.561496,13 0.343998,14 0.564643,15 -0.519232,16 -0.036016,17 0.10369,18 0.412092,19 0.088236,20 -0.403202,21 0.23785,22 0.106925,23 0.095836,24 -0.410119,25 0.063855,26 -0.175868,27 0.535284,28 -0.06476,29 -0.113195,30 -0.095483,31 -0.552256,32 4}
{0 6.342099,1 -7.932621,2 2.657462,3 2.714499,4 -1.116811,5 1.325074,6 -0.068547,7 0.627173,8 1.119831,9 -0.218082,10 0.305377,11 0.978592,12 -0.257822,13 -0.789456,14 0.704141,15 -0.460197,16 -0.072175,17 -0.108676,18 -0.813527,19 0.201995,20 0.587006,21 0.735698,22 -0.262374,23 -0.511371,24 -0.756956,25 -0.197726,26 0.238675,27 0.389348,28 0.265576,29 0.581976,30 -0.709298,31 0.198429,32 6}
{0 1.908284,1 0.917468,2 -1.409515,3 0.728226,4 -0.813966,5 0.562356,6 -1.026177,7 0.730413,8 -0.268855,9 -0.43691,10 0.165421,11 0.466399,12 -0.503467,13 -0.869084,14 -0.282882,15 0.09949,16 -0.824349,17 -0.178687,18 -0.422189,19 0.886952,20 -0.091833,21 -0.053047,22 -0.068953,23 0.079765,24 0.231811,25 0.305267,26 0.364099,27 -0.316471,28 0.310278,29 -0.235917,30 0.835355,31 0.348279,32 7}
{0 11.574759,1 7.923669,2 -2.251789,3 4.838388,4 -2.766473,5 0.949241,6 -1.241961,7 -1.067239,8 -0.335427,9 -0.361066,10 0.725322,11 0.986974,12 -0.259215,13 -0.169119,14 0.401895,15 0.868208,16 0.144426,17 -1.094303,18 -0.009229,19 0.302264,20 1.069474,21 0.764901,22 -0.284492,23 -0.022003,24 -0.831504,25 -0.202342,26 0.411831,27 -0.109611,28 0.554651,29 -1.047521,30 0.038266,31 -0.810163,32 3}
{0 15.514711,1 -4.300682,2 -2.967006,3 1.267349,4 -1.612312,5 -1.54119,6 -0.801172,7 -0.578006,8 0.630955,9 0.568226,10 -1.714087,11 0.78406,12 -1.085044,13 -0.26718,14 0.052045,15 -0.779946,16 0.017552,17 0.733171,18 -0.325547,19 0.394298,20 0.406874,21 0.294796,22 -0.173389,23 -0.127247,24 -0.618572,25 0.091822,26 -0.503322,27 0.27652,28 0.095041,29 -0.218083,30 0.339125,31 0.06323}
{0 11.227052,1 -13.823902,2 0.661039,3 5.410756,4 -2.209856,5 -0.800633,6 1.042142,7 1.690621,8 1.035708,9 1.039084,10 0.268751,11 1.087413,12 -0.570613,13 -0.987292,14 -0.0833,15 -0.643757,16 -0.51815,17 -0.331574,18 -0.544134,19 0.547475,20 -0.09669,21 0.38673,22 0.544184,23 -0.239302,24 -0.31657,25 -0.374358,26 0.702933,27 0.320221,28 -0.265142,29 -0.071974,30 0.20439,31 -0.759962,32 10}
{0 16.948605,1 -2.694159,2 0.763127,3 3.948763,4 1.361705,5 -0.938464,6 -1.413363,7 1.218064,8 0.322955,9 -1.554018,10 -0.089158,11 1.05273,12 -0.093182,13 0.721506,14 -0.49794,15 -0.453015,16 0.490159,17 0.218094,18 -0.21495,19 0.391308,20 0.011598,21 0.061365,22 -0.44041,23 0.031951,24 -0.637106,25 0.074021,26 0.403949,27 0.069657,28 0.186495,29 -0.025541,30 0.27721,31 0.007789,32 2}
{0 15.110197,1 8.148131,2 -0.290076,3 3.390011,4 -3.385426,5 -0.195615,6 -0.407364,7 -1.003719,8 -0.980413,9 -0.897824,10 0.902122,11 1.658975,12 -0.185925,13 -0.569746,14 0.105812,15 0.532153,16 0.0838,17 -1.08813,18 0.083008,19 -0.331433,20 0.608904,21 0.699868,22 0.291808,23 0.350028,24 -0.67376,25 0.670923,26 0.425952,27 -0.320307,28 0.227388,29 -0.601405,30 0.604415,31 -0.713108,32 3}
{0 2.413654,1 -0.144761,2 -2.781778,3 1.121325,4 -0.854862,5 -0.100205,6 -0.212208,7 0.811394,8 -0.756625,9 -0.724759,10 0.031718,11 0.525575,12 -0.753129,13 -1.339977,14 -1.332713,15 0.41204,16 -0.265518,17 -0.869001,18 -0.473987,19 0.759748,20 -0.620448,21 0.679914,22 1.144805,23 0.822066,24 0.480768,25 -0.236323,26 0.432031,27 0.375012,28 0.439433,29 0.081015,30 0.341164,31 -0.103286,32 6}
{0 8.742726,1 2.346259,2 -1.622294,3 3.509352,4 2.079698,5 -0.179286,6 -0.494236,7 -1.614124,8 1.419243,9 1.376962,10 0.48909,11 0.852393,12 0.695657,13 -0.724261,14 0.705658,15 -0.247869,16 -0.250083,17 0.078013,18 -0.357365,19 0.574084,20 0.06418,21 0.808166,22 -0.383477,23 0.126402,24 -0.472194,25 -0.002335,26 0.119762,27 -0.016804,28 -0.23798,29 0.091722,30 0.646273,31 -0.300407,32 5}
{0 5.994234,1 5.594325,2 2.206283,3 3.433913,4 -1.607425,5 -2.398553,6 0.808752,7 0.848311,8 1.438378,9 0.003047,10 0.029098,11 0.196811,12 -1.015633,13 -0.125617,14 -0.283783,15 -0.090663,16 0.124842,17 -0.581559,18 0.346268,19 1.177989,20 -0.497332,21 0.30896,22 0.260054,23 -0.079905,24 -0.670297,25 -0.276719,26 0.036754,27 -0.18136,28 0.220705,29 -0.205057,30 0.385897,31 0.459965,32 7}
{0 0.516544,1 -0.140971,2 -0.267949,3 0.224107,4 -0.049652,5 -0.061829,6 0.122109,7 -0.061725,8 -0.145979,9 -0.256132,10 0.219484,11 0.234419,12 -0.246462,13 -0.184351,14 0.010236,15 -0.001518,16 0.160745,17 -0.017119,18 -0.01525,19 0.411781,20 -0.013229,21 0.16839,22 0.061463,23 -0.187759,24 0.051369,25 -0.145652,26 0.159961,27 0.068615,28 0.059723,29 0.143822,30 0.150331,31 -0.328886,32 8}
{0 6.654681,1 -2.7407,2 1.600563,3 0.470997,4 -1.416731,5 -0.474064,6 -0.033856,7 0.123108,8 0.687843,9 0.675183,10 0.172776,11 0.132341,12 -0.09293,13 -0.440986,14 -0.364088,15 0.669474,16 0.910717,17 0.467887,18 -0.023132,19 0.738375,20 -0.507096,21 0.682807,22 -0.406985,23 -0.082561,24 -0.112572,25 -0.13471,26 0.644536,27 -0.308713,28 -0.033765,29 -0.135766,30 0.132904,31 -0.309105,32 4}
{0 4.771418,1 -6.826236,2 2.172228,3 2.989855,4 -1.661736,5 0.507757,6 -0.591299,7 0.046965,8 1.220289,9 0.020814,10 -0.412061,11 0.630003,12 -0.262436,13 -0.833331,14 0.22447,15 0.679489,16 0.322623,17 0.146469,18 0.187235,19 0.168811,20 0.033326,21 0.713664,22 -0.360485,23 0.442375,24 0.358632,25 0.157546,26 0.27382,27 0.097521,28 0.784978,29 -0.099237,30 -0.296319,31 -0.187833,32 7}
{0 6.34435,1 -7.133259,2 2.351358,3 1.091981,4 -1.619414,5 0.913797,6 -0.97076,7 0.521563,8 0.493953,9 0.965114,10 -0.850827,11 1.6806,12 0.32376,13 0.286999,14 0.15722,15 -0.927942,16 -0.210416,17 -0.407944,18 1.413296,19 1.00456,20 0.036863,21 0.390314,22 0.486068,23 1.200218,24 0.28077,25 -1.335505,26 0.673232,27 0.078571,28 0.503971,29 -0.278204,30 -0.002514,31 0.217213,32 3}
{0 12.031257,1 -3.603437,2 1.482813,3 0.139604,4 -1.286511,5 -0.592303,6 -0.001262,7 -0.281297,8 1.405532,9 0.400937,10 -0.03602,11 0.350373,12 -0.318673,13 -1.02837,14 -0.067943,15 0.595428,16 0.916458,17 0.179837,18 -0.083144,19 0.481632,20 -0.849005,21 0.334979,22 -0.110484,23 0.054832,24 -0.55097,25 -0.281885,26 0.428204,27 -0.109711,28 0.879292,29 -0.150601,30 -0.078222,31 -0.07424,32 7}
{0 2.464142,1 -4.385098,2 2.612863,3 2.908076,4 -1.448821,5 1.772879,6 -0.627861,7 -0.830542,8 0.832846,9 -0.409298,10 0.641352,11 0.366148,12 -1.58073,13 -0.386477,14 -0.246676,15 0.394679,16 0.03151,17 1.353871,18 1.133677,19 -0.538142,20 0.494056,21 -0.010792,22 -0.136023,23 0.081061,24 -0.361683,25 0.387356,26 -0.27866,27 -0.386956,28 0.863999,29 -0.148632,30 -0.426676,31 0.652962,32 5}
{0 14.596607,1 1.224551,2 -0.838271,3 0.500231,4 -1.929349,5 -1.227511,6 -0.840877,7 0.162311,8 1.555453,9 -0.185136,10 0.249891,11 0.195742,12 -0.346757,13 -1.436519,14 0.162055,15 -0.640097,16 -0.017793,17 -0.031664,18 0.384577,19 0.290576,20 -1.101458,21 0.152668,22 0.235507,23 -0.392324,24 -1.243861,25 -0.350789,26 0.493935,27 0.014121,28 0.597922,29 0.108551,30 0.123557,31 -0.081863,32 7}
{0 3.333385,1 1.547253,2 -2.80219,3 1.80001,4 0.318045,5 1.168804,6 -0.192981,7 -0.097673,8 0.57776,9 -0.53443,10 0.171597,11 1.12227,12 0.124761,13 -0.83879,14 -1.201909,15 -0.119501,16 0.287042,17 -0.10316,18 -0.381133,19 0.723798,20 -0.478169,21 0.97682,22 1.580681,23 -0.039058,24 -0.261822,25 0.312151,26 0.294387,27 0.05922,28 0.501421,29 -0.079716,30 0.572682,31 -0.08724,32 8}
{0 8.011709,1 -0.877943,2 1.636674,3 0.48116,4 -1.571077,5 -0.785887,6 0.067413,7 0.049664,8 0.707362,9 0.437503,10 0.276821,11 -0.055347,12 -0.206238,13 -0.309041,14 -0.247663,15 0.679546,16 0.976077,17 0.50165,18 0.124466,19 0.74711,20 -0.534582,21 0.568752,22 -0.528337,23 -0.180774,24 -0.182605,25 -0.160258,26 0.723918,27 -0.206777,28 -0.14259,29 -0.240485,30 0.433679,31 -0.307807,32 4}
{0 0.650185,1 -0.087884,2 0.154667,3 0.206009,4 0.003858,5 -0.08758,6 -0.105365,7 0.120781,8 -0.073485,9 -0.069994,10 -0.000061,11 0.070836,12 -0.0184,13 -0.024977,14 0.035846,15 -0.012447,16 -0.001508,17 0.053925,18 -0.033065,19 -0.01116,20 -0.05603,21 -0.009759,22 -0.019235,23 0.005686,24 -0.027669,25 -0.048837,26 -0.015234,27 -0.025653,28 0.001284,29 -0.004705,30 0.028786,31 -0.019599,32 2}
{0 2.751755,1 -5.34776,2 -0.324723,3 3.70276,4 -2.172494,5 -2.509509,6 -0.252994,7 -1.29753,8 -0.248597,9 -0.326499,10 -0.817927,11 0.373666,12 0.028068,13 -0.617476,14 0.510438,15 -0.701939,16 0.490421,17 -0.270896,18 -0.183448,19 -0.116667,20 -0.209069,21 -0.311136,22 0.111367,23 0.654061,24 0.210438,25 0.140214,26 0.02525,27 -0.42671,28 1.20556,29 -0.284065,30 0.388032,31 0.072367}
{0 5.921694,1 -9.126988,2 -2.282429,3 4.346753,4 -1.244011,5 -3.395745,6 0.621656,7 0.076024,8 1.791047,9 -0.975695,10 0.692139,11 2.970834,12 -0.477029,13 -0.898019,14 1.476346,15 0.462623,16 0.080775,17 0.367867,18 0.392378,19 1.351832,20 0.037647,21 0.641528,22 -0.286621,23 0.200716,24 0.083642,25 -0.125415,26 0.340619,27 0.845308,28 0.05729,29 0.12834,30 -0.117138,31 0.595104,32 9}
